It,AveBestFitness,AvgConvergence,ConfidenceInterval,ExperimentName
0,106.38166511381505,2.6681311379544934,158.60832817877926,pcross=0.1
1,99.53633069046845,2.4076072609711505,139.62621495467587,pcross=0.1
2,92.21507652181144,2.1379428430417087,125.56008224054821,pcross=0.1
3,84.54610545475839,1.7954944887267676,114.77980718194014,pcross=0.1
4,81.26721061629384,1.4366748397513185,106.55585435680165,pcross=0.1
5,77.20880986745851,1.2398030084578175,99.28476607674098,pcross=0.1
6,71.73457821873517,1.1129743788339435,93.32788624089372,pcross=0.1
7,68.10946265811342,0.9407389520504205,87.56026573844203,pcross=0.1
8,65.44261973010603,0.7648130045665754,82.43746500413523,pcross=0.1
9,60.17931226133016,0.670119776921286,77.79683251465802,pcross=0.1
10,55.51403387949669,0.6109312576405183,73.04688780286486,pcross=0.1
11,53.29422063981917,0.5062442170341167,68.90236876787172,pcross=0.1
12,52.600189612665794,0.44179550289900654,65.32616765733219,pcross=0.1
13,49.83612287036595,0.4092850526106834,61.782203966010144,pcross=0.1
14,48.38274758608581,0.335955702330968,58.40112249699626,pcross=0.1
15,46.82705812702459,0.2570097457739353,55.590030362613795,pcross=0.1
16,44.96694176686747,0.20964371050153785,53.448916894284444,pcross=0.1
17,43.67245955106514,0.18764894015583924,51.57099935074147,pcross=0.1
18,41.582490812913626,0.1652534909295505,49.647338275009844,pcross=0.1
19,40.28789932137139,0.15614682649925435,47.796036400434815,pcross=0.1
20,38.76043281094236,0.15012783185024517,46.26241392860115,pcross=0.1
21,38.06065969193663,0.1407496552719835,44.66222754341967,pcross=0.1
22,36.808162912303395,0.13993109356539954,43.36549781997018,pcross=0.1
23,35.808342625927615,0.13668679703176587,41.67306198653042,pcross=0.1
24,34.599355045805844,0.13343837310739648,40.47509641141103,pcross=0.1
25,34.06855972077412,0.12318232460213463,39.4670120236934,pcross=0.1
26,33.07161588320109,0.11928706357551869,38.563148171304896,pcross=0.1
27,32.20208946648931,0.11606268142713863,37.38597804840882,pcross=0.1
28,31.773846346413727,0.1072602577178992,36.425936957941126,pcross=0.1
29,31.26047078422072,0.09079165569229661,35.49217620810655,pcross=0.1
30,30.742020359777413,0.08799601379705074,34.60469231034609,pcross=0.1
31,29.758492556813852,0.0911973688769709,34.143948570991995,pcross=0.1
32,29.084132098528407,0.0913819123876186,33.35101957421992,pcross=0.1
33,28.726991297982384,0.090254065312501,32.83372351977333,pcross=0.1
34,28.05552979976357,0.08417752671882567,32.03204618241115,pcross=0.1
35,27.64144341931368,0.08985091122189738,31.78428330297939,pcross=0.1
36,27.2601347931282,0.08504933891213041,30.822144917926593,pcross=0.1
37,26.406010192265942,0.08212547425637777,30.36619287275147,pcross=0.1
38,25.58299573110259,0.07335252572247,29.62958342179158,pcross=0.1
39,25.084207887995223,0.07964699966990554,29.243318777915906,pcross=0.1
40,24.51089916831323,0.08232666243415472,28.865464935546335,pcross=0.1
41,24.079802744781666,0.08486592893075355,28.05682310607013,pcross=0.1
42,23.518758046052486,0.08453644011515257,27.29321136959377,pcross=0.1
43,23.216180974518537,0.08789620064492835,26.971202038353983,pcross=0.1
44,22.973225525042704,0.08536870866016999,26.177588167492235,pcross=0.1
45,22.746847380712634,0.08271204751438271,25.587468264263457,pcross=0.1
46,22.229829158859516,0.08880843448823711,25.200195234733393,pcross=0.1
47,21.474723014252433,0.08592290565331699,24.734624772139675,pcross=0.1
48,21.194093753550703,0.08892021072593898,24.664869438542492,pcross=0.1
49,20.850768418563995,0.08888066356216077,24.148969675492808,pcross=0.1
50,20.39394609704971,0.08353102591836865,23.680320231855767,pcross=0.1
51,20.061795702311574,0.0844634864321574,23.32340844133244,pcross=0.1
52,19.692951135644318,0.08269130951204491,22.997160422659462,pcross=0.1
53,19.30999600806477,0.08149054038690946,22.467539563967478,pcross=0.1
54,19.044321560524374,0.07792565597090235,21.996450780415767,pcross=0.1
55,18.736477744531136,0.08218819155572149,21.867185392293813,pcross=0.1
56,18.40885468951549,0.07603284028479994,21.395981481882185,pcross=0.1
57,18.194481855453834,0.07594033821283895,20.999378303669022,pcross=0.1
58,17.93330657035495,0.07294489635896297,20.642010786135437,pcross=0.1
59,17.489065538530998,0.07402809947206203,20.33927964171984,pcross=0.1
60,17.3595723495269,0.0716154793894085,20.100891330859472,pcross=0.1
61,17.16403469621754,0.0702062586357162,19.807412282474886,pcross=0.1
62,16.854628730033053,0.0705118368426466,19.656743757882086,pcross=0.1
63,16.810958795463105,0.07191427795143816,19.102429740801902,pcross=0.1
64,16.552697639258398,0.08028128209401339,19.13351968153164,pcross=0.1
65,16.309661916623888,0.0755438148334373,18.756020126629146,pcross=0.1
66,16.076238722652292,0.07639944881391016,18.596079477415532,pcross=0.1
67,15.79919886330794,0.06974778264544174,18.238617575650967,pcross=0.1
68,15.53406385212276,0.07015706888485876,18.119916167733997,pcross=0.1
69,15.31418740967795,0.0771553681577526,17.999497507352807,pcross=0.1
70,14.986847640509772,0.07694808082583024,17.70176742410336,pcross=0.1
71,14.839705068234784,0.08274473945704915,17.455045569652818,pcross=0.1
72,14.615197073315832,0.08758577958482314,17.309613089523644,pcross=0.1
73,14.306445249339951,0.07973890396418229,16.76798022909892,pcross=0.1
74,14.114404204585401,0.08183638174848365,16.623813803385513,pcross=0.1
75,13.870067272984391,0.08246775427100762,16.47975457296141,pcross=0.1
76,13.621266839952687,0.08024215187902284,16.28616313349189,pcross=0.1
77,13.457715577409003,0.08160430470050004,15.862495311261958,pcross=0.1
78,13.17971713206717,0.0735559131200451,15.805758282189451,pcross=0.1
