It,AveBestFitness,AvgConvergence,ConfidenceInterval,ExperimentName
0,96.83672525970583,2.6801628148739023,159.3931412781472,pmut_gene=0.001
1,86.63896924209911,2.4107934114042595,137.82201312499907,pmut_gene=0.001
2,77.42822504606026,2.1509004635446676,120.07289285473355,pmut_gene=0.001
3,67.88339310626263,1.8918054334747105,105.30336855636381,pmut_gene=0.001
4,60.1289921088165,1.6146608209403006,92.33585781033295,pmut_gene=0.001
5,53.72376450007288,1.4040429459557624,81.17262013447514,pmut_gene=0.001
6,47.71770714606369,1.2158380538353384,71.56010497681943,pmut_gene=0.001
7,43.21662844937436,1.0244289558964121,63.38706910632742,pmut_gene=0.001
8,40.73111309054755,0.8814168187809798,56.684550485863554,pmut_gene=0.001
9,38.90489484718394,0.7518142743254472,51.28852963524001,pmut_gene=0.001
10,36.39547350436502,0.6433381383916709,46.62448038498741,pmut_gene=0.001
11,34.343250037337846,0.5379265035841968,42.884944846201215,pmut_gene=0.001
12,33.21915526234265,0.42679416781839113,39.87790080819695,pmut_gene=0.001
13,32.47352948659207,0.3503139464692954,37.59005889723505,pmut_gene=0.001
14,31.584264816995287,0.2917604500139303,35.90840272334851,pmut_gene=0.001
15,31.168125408422238,0.24676211035258913,34.49320112482548,pmut_gene=0.001
16,30.911629063784016,0.18758335875229953,33.35517393833186,pmut_gene=0.001
17,30.68060335966117,0.13987396988843007,32.53344734916396,pmut_gene=0.001
18,30.625505654843156,0.10558853960481719,31.816006732552353,pmut_gene=0.001
19,30.443514145763515,0.08637910140767598,31.23396249618646,pmut_gene=0.001
20,30.443514145763515,0.05395303159172319,30.818125764667837,pmut_gene=0.001
21,30.39880415462151,0.031451580713656765,30.67308355525791,pmut_gene=0.001
22,30.243956944666753,0.020388226650237925,30.586239332408482,pmut_gene=0.001
23,30.181480661833568,0.00625718771631416,30.498312134931375,pmut_gene=0.001
24,30.061213922779416,0.0024130125313810437,30.46246368846932,pmut_gene=0.001
25,30.059034903441095,0.0033604115884375146,30.3905362840007,pmut_gene=0.001
26,29.785443967315473,0.005475978521340925,30.31205038009722,pmut_gene=0.001
27,29.392399221263712,0.006101076179807107,30.181935470713942,pmut_gene=0.001
28,29.385597288668905,0.008234288179278165,30.113870577958263,pmut_gene=0.001
29,29.18162097248391,0.008861262656192824,30.017131638191312,pmut_gene=0.001
30,29.023615428880262,0.00818001504399852,29.898089249687057,pmut_gene=0.001
31,28.975752534341556,0.006836661685891962,29.73866117643362,pmut_gene=0.001
32,29.08707961349837,0.0029290456975651314,29.51330172109345,pmut_gene=0.001
33,28.85073799116518,0.003745733817482504,29.340448181538118,pmut_gene=0.001
34,28.85073799116518,0.003962842146858571,29.161718137928254,pmut_gene=0.001
35,28.83874153385209,0.0030332120052137595,29.083889815988258,pmut_gene=0.001
36,28.778699559267025,0.003136183001399171,29.033277947729832,pmut_gene=0.001
37,28.778699559267025,0.0031244094841644476,28.975087680257072,pmut_gene=0.001
38,28.778699559267025,0.0014543652024575054,28.889340441801767,pmut_gene=0.001
39,28.778699559267025,0.0026852048758094524,28.878673112489935,pmut_gene=0.001
40,28.54530505275966,0.0022029811577081167,28.81591301691845,pmut_gene=0.001
41,28.3750142344721,0.002728763908471611,28.829093251417,pmut_gene=0.001
42,28.3783009691418,0.002817889451328685,28.775479596368868,pmut_gene=0.001
43,28.096594285793017,0.003113193088965216,28.7006005386581,pmut_gene=0.001
44,28.000604103126413,0.004613469017893831,28.572172827865437,pmut_gene=0.001
45,28.011204116699545,0.004729102571230835,28.40930260666634,pmut_gene=0.001
46,28.011204116699545,0.004203566769423886,28.303579922892176,pmut_gene=0.001
47,27.931414732294275,0.005291997841728991,28.20172752389835,pmut_gene=0.001
48,27.840126360495727,0.005083522730462619,28.09629104518259,pmut_gene=0.001
49,27.797655346792,0.0022759073090932876,28.030862094438508,pmut_gene=0.001
50,27.657140846721596,0.002867197641704192,28.017768288189927,pmut_gene=0.001
51,27.657140846721596,0.0026050176261775125,27.987331459195936,pmut_gene=0.001
52,27.613962364861077,0.0025221440841493976,27.923156122858522,pmut_gene=0.001
53,27.613962364861077,0.002279399626221847,27.842611750118518,pmut_gene=0.001
54,27.55936115317697,0.001397342465461487,27.771452125320078,pmut_gene=0.001
55,27.55936115317697,0.0023106568068587104,27.72173684395155,pmut_gene=0.001
56,27.499309777022493,0.0020766218078782013,27.657219064072613,pmut_gene=0.001
57,27.414223923500835,0.0019941339246610365,27.642598717718975,pmut_gene=0.001
58,27.271962247765128,0.002913551432768492,27.623644894357483,pmut_gene=0.001
59,27.271962247765128,0.002629746855316148,27.60238237662172,pmut_gene=0.001
60,26.954054268124608,0.0027463589465422053,27.54358213714364,pmut_gene=0.001
61,26.954054268124608,0.0024134889191277198,27.48095414108512,pmut_gene=0.001
62,26.954054268124608,0.002769833909808833,27.412522018379402,pmut_gene=0.001
63,26.82424800803653,0.0030544849776658607,27.2867683300399,pmut_gene=0.001
64,26.82424800803653,0.00282606966556687,27.13262257036344,pmut_gene=0.001
65,26.783943055778987,0.002473107813120722,27.00523010094248,pmut_gene=0.001
66,26.750597905179827,0.0016582072395481097,26.934995301221857,pmut_gene=0.001
67,26.610584099599052,0.00225037251573624,26.916259920464668,pmut_gene=0.001
68,26.610584099599052,0.0010422499139854653,26.83400245059346,pmut_gene=0.001
69,26.610584099599052,0.0017547083559334789,26.826629017484944,pmut_gene=0.001
70,26.518965323468148,0.003612240897621138,26.804895260785624,pmut_gene=0.001
71,26.60447315153922,0.0026214576469361078,26.722874967526316,pmut_gene=0.001
72,26.575274864585925,0.0020773822013999505,26.65720509803558,pmut_gene=0.001
73,26.466922162409556,0.001386923799090692,26.63101768650392,pmut_gene=0.001
74,26.504693207594805,0.0008173064698456311,26.611142047996086,pmut_gene=0.001
75,26.504693207594805,0.0018160669144121398,26.62018917922625,pmut_gene=0.001
76,26.504693207594805,0.00204235463535454,26.614407027370603,pmut_gene=0.001
77,26.504693207594805,0.0018032648960804873,26.56586038102803,pmut_gene=0.001
78,26.504693207594805,0.0009087509746611163,26.533280935162374,pmut_gene=0.001
79,26.489269698242033,0.0004032729533282725,26.51716303696395,pmut_gene=0.001
80,26.08765933357245,0.0009808295897877056,26.53270238002988,pmut_gene=0.001
81,25.895431109731177,0.0016219599168785916,26.51083871708067,pmut_gene=0.001
82,25.880077107098383,0.0019098472591114175,26.457795583404383,pmut_gene=0.001
83,25.748438751967633,0.0029670309161120858,26.36618867364105,pmut_gene=0.001
84,25.71839807149806,0.003123597754115061,26.163922937790822,pmut_gene=0.001
85,25.62281613510716,0.0020511079514939925,25.992329550451732,pmut_gene=0.001
86,25.257501886690193,0.003449561749529783,25.938234394589966,pmut_gene=0.001
87,25.278025206601047,0.002828132507612487,25.830902032313357,pmut_gene=0.001
88,25.278025206601047,0.003470129110708166,25.76059857664,pmut_gene=0.001
89,25.23096085738455,0.003528405859975795,25.69254847577135,pmut_gene=0.001
