It,AveBestFitness,AvgConvergence,ConfidenceInterval,ExperimentName
0,97.14534153449266,2.67632458075859,159.39206682979096,pmut_ind=0.01
1,86.49549373931136,2.4122520365545457,138.42862997680623,pmut_ind=0.01
2,76.874884491155,2.1665010239222786,120.71995108964835,pmut_ind=0.01
3,68.20645077626985,1.9140671384109813,105.06006865612409,pmut_ind=0.01
4,61.34749528499944,1.6753383880909292,92.14621200011133,pmut_ind=0.01
5,53.38163435766069,1.4898395119267127,81.82463802200529,pmut_ind=0.01
6,48.045885607895926,1.3188828003757098,72.39814220302347,pmut_ind=0.01
7,43.325744897071644,1.1236752648771335,63.55614828659985,pmut_ind=0.01
8,40.19690364002539,0.9581730731350344,56.08543180512444,pmut_ind=0.01
9,36.94139516810806,0.8151762670480422,50.23809728260302,pmut_ind=0.01
10,34.89080761898638,0.6792494047430476,45.42402413712634,pmut_ind=0.01
11,33.20666823666986,0.5354402324655739,41.67039208464406,pmut_ind=0.01
12,32.236089069243064,0.430580950217756,38.578749191043315,pmut_ind=0.01
13,31.088894176390276,0.34772037829105107,36.128126489985014,pmut_ind=0.01
14,30.383394795547474,0.2668990958499196,34.2889021473785,pmut_ind=0.01
15,29.789134890281403,0.217284403431932,32.941035952559865,pmut_ind=0.01
16,29.54368016863988,0.17194479261551715,31.917874053231166,pmut_ind=0.01
17,29.474547191210643,0.13198384753578998,31.071329626616652,pmut_ind=0.01
18,29.210396037080788,0.09394558015773034,30.402258248793167,pmut_ind=0.01
19,29.083981024080018,0.06154755368886316,29.89950577319314,pmut_ind=0.01
20,28.742951477543873,0.03242848003806117,29.588596476364742,pmut_ind=0.01
21,28.72573029227108,0.024273068953193075,29.447742419420386,pmut_ind=0.01
22,28.488090149733807,0.018480606570520388,29.294573131944723,pmut_ind=0.01
23,28.36715664195877,0.012351019338258263,29.158257613973475,pmut_ind=0.01
24,28.354800180405952,0.009581590023623719,28.93390604458964,pmut_ind=0.01
25,28.120583083804977,0.008964985316251624,28.71718975386114,pmut_ind=0.01
26,28.055841743454753,0.008055371473073994,28.571590361486464,pmut_ind=0.01
27,27.859408145994664,0.0057411764259455295,28.420030292257703,pmut_ind=0.01
28,27.831669265064544,0.005015495149460915,28.353894543042426,pmut_ind=0.01
29,27.587599828690315,0.00692700782879139,28.219936452141237,pmut_ind=0.01
30,27.580353464178373,0.008094609857703624,28.113080053418663,pmut_ind=0.01
31,27.531945272253257,0.008604241925267063,27.947238905632407,pmut_ind=0.01
32,27.031529877778077,0.009790877165856733,27.857506181138717,pmut_ind=0.01
33,27.031529877778077,0.008891938890580021,27.715456371632698,pmut_ind=0.01
34,26.9122874122274,0.00809713285329011,27.590671965429138,pmut_ind=0.01
35,26.84669991923148,0.008954634873889256,27.460912420956216,pmut_ind=0.01
36,26.69566176968567,0.009683423888378579,27.28813416570573,pmut_ind=0.01
37,26.69566176968567,0.007265468152172207,27.061563763620445,pmut_ind=0.01
38,26.322027858513874,0.007975547546300428,26.957808202984488,pmut_ind=0.01
39,26.071045329721755,0.00898018487984558,26.892817948463406,pmut_ind=0.01
40,25.903324207101942,0.00609454953654256,26.792599734875562,pmut_ind=0.01
41,25.903324207101942,0.0072893090392962935,26.614676470604348,pmut_ind=0.01
42,25.69002941309608,0.008787210858226568,26.44279165959773,pmut_ind=0.01
43,25.69002941309608,0.009045534438790043,26.2689073989539,pmut_ind=0.01
44,25.61569270431638,0.007379510646846874,26.15405512953364,pmut_ind=0.01
45,25.61569270431638,0.005001145917846379,25.94033370264344,pmut_ind=0.01
46,25.53467077932692,0.00369252873195878,25.77367605635893,pmut_ind=0.01
47,25.53467077932692,0.002668726517702001,25.700446241509418,pmut_ind=0.01
48,25.53467077932692,0.0022652988152780484,25.642960246912107,pmut_ind=0.01
49,25.486527003909277,0.0027151770585112,25.636102510160335,pmut_ind=0.01
50,25.482879587207734,0.0011216577171005717,25.580223829045888,pmut_ind=0.01
51,25.451980522166316,0.0012252789378855975,25.555985750689594,pmut_ind=0.01
52,25.331022961466022,0.0027393784835655246,25.551807264416272,pmut_ind=0.01
53,25.10688116508442,0.0029689701585261393,25.55210565411608,pmut_ind=0.01
54,24.918270696771653,0.002628412157482286,25.488095168633436,pmut_ind=0.01
55,24.62480585895191,0.0033068654745955456,25.4487947832044,pmut_ind=0.01
56,24.62480585895191,0.005626698849884626,25.378087612811456,pmut_ind=0.01
57,24.608421925081743,0.004808023037996146,25.134190935298864,pmut_ind=0.01
58,24.560081226097548,0.004083099813105054,24.966010602556626,pmut_ind=0.01
59,24.434613846389762,0.004288739224666687,24.854520416209773,pmut_ind=0.01
60,24.267467779669932,0.004748958635682226,24.71922942701415,pmut_ind=0.01
61,24.29234597881809,0.0036513009391386767,24.611934570628627,pmut_ind=0.01
62,24.28371119644659,0.0026486810435306725,24.542691628346443,pmut_ind=0.01
63,24.221925656006924,0.0026535926479377327,24.46055825245788,pmut_ind=0.01
64,24.140087245301803,0.0033666672015271,24.38705347106983,pmut_ind=0.01
65,24.028713076350677,0.004899637861919432,24.328161814720982,pmut_ind=0.01
66,24.026838194518835,0.005729068224817968,24.281625169251107,pmut_ind=0.01
67,23.876282156208575,0.0072858027966315785,24.236644308738516,pmut_ind=0.01
68,23.965052654079166,0.007371113478927329,24.17323526792368,pmut_ind=0.01
69,23.965052654079166,0.004890210757822195,24.07432602907037,pmut_ind=0.01
70,23.965052654079166,0.004799486549832016,24.05067740980436,pmut_ind=0.01
71,23.923862157710445,0.005330726769448901,24.061137702843766,pmut_ind=0.01
72,23.837242496674165,0.0020645042172552975,23.98035515181057,pmut_ind=0.01
73,23.795820946003406,0.0023569476959124287,24.01110595181727,pmut_ind=0.01
74,23.748933623267575,0.0024817525614761154,23.9859759727451,pmut_ind=0.01
75,23.748933623267575,0.005314680127138106,24.01620205390624,pmut_ind=0.01
76,23.66125864303841,0.00353545959557812,23.90897624044606,pmut_ind=0.01
77,23.56438763539383,0.005937773534978522,23.90817983401038,pmut_ind=0.01
78,23.53262901438331,0.005729125515203035,23.829798225159156,pmut_ind=0.01
79,23.502684167270925,0.002581749384945162,23.722853389064507,pmut_ind=0.01
80,23.38767850371243,0.003156487189213475,23.66669908133501,pmut_ind=0.01
81,23.38767850371243,0.0025842409819387666,23.591415521339872,pmut_ind=0.01
82,23.340196103837275,0.004841710483948244,23.59091232678369,pmut_ind=0.01
83,23.21804695282625,0.004546742422617,23.52082827762747,pmut_ind=0.01
84,23.160144806409786,0.00518943796103788,23.483248298444224,pmut_ind=0.01
85,23.04611652421856,0.0034264612214505224,23.41993730727184,pmut_ind=0.01
86,23.01839638950964,0.006422247257256201,23.43103098780132,pmut_ind=0.01
87,22.98715315539939,0.005653680133787846,23.321251187535704,pmut_ind=0.01
88,22.9769377818457,0.004614450650670966,23.21584601318065,pmut_ind=0.01
89,22.976314744976516,0.0037935851811899623,23.109235628076895,pmut_ind=0.01
90,22.976314744976516,0.003644552115988721,23.065136043757523,pmut_ind=0.01
91,22.976314744976516,0.00503611792785811,23.065908811379742,pmut_ind=0.01
92,22.96162284663605,0.005345473573887847,23.064302828232858,pmut_ind=0.01
93,22.954168554969645,0.005224988235335724,23.022885615324267,pmut_ind=0.01
94,22.870355318328482,0.004663327570052323,23.052467134562367,pmut_ind=0.01
95,22.86139141285903,0.0036965305517218283,23.048817731742428,pmut_ind=0.01
96,22.86139141285903,0.0025480802885884247,22.970403858421736,pmut_ind=0.01
97,22.86139141285903,0.0034052312254247434,22.965563016328495,pmut_ind=0.01
98,22.7949554777038,0.004106024900377436,22.978182263273396,pmut_ind=0.01
99,22.740607242839335,0.0025582792448809386,22.919032139076915,pmut_ind=0.01
0,97.08923331935884,2.648972936777128,157.4316210375528,pmut_ind=0.025
1,85.34254942630756,2.371452186274499,135.80415925992105,pmut_ind=0.025
2,74.61976591504812,2.110136783570984,118.13771275142537,pmut_ind=0.025
3,64.09880137033814,1.8729686464468662,102.91942007502223,pmut_ind=0.025
4,55.85417876680514,1.6476888989803358,89.34439189537784,pmut_ind=0.025
5,49.0646558868672,1.4213109547543035,77.88059654034173,pmut_ind=0.025
6,44.386137746018555,1.21429463831715,68.0145729044279,pmut_ind=0.025
7,39.89732544189395,1.0378977345354266,59.51727418778869,pmut_ind=0.025
8,37.49975624511382,0.8798354366404602,52.7518150540633,pmut_ind=0.025
9,34.847418418999226,0.732782849914419,47.27282976974197,pmut_ind=0.025
10,32.937758467273305,0.6112228836075853,42.90652479815054,pmut_ind=0.025
11,31.650073014897835,0.5072861222527304,39.501213405570766,pmut_ind=0.025
12,30.29279955641601,0.4295211400483636,36.85683177852713,pmut_ind=0.025
13,29.615585797005618,0.3389812367027163,34.74294276078337,pmut_ind=0.025
14,28.54509916009628,0.28246365718878685,32.91000552943165,pmut_ind=0.025
15,28.10907409636167,0.22866493096763615,31.47212223510044,pmut_ind=0.025
16,27.57114102155596,0.18247378166364778,30.351419908700734,pmut_ind=0.025
17,27.15456239261912,0.13762381430960097,29.482817361589827,pmut_ind=0.025
18,27.11837512835275,0.10689359136757774,28.76529286094282,pmut_ind=0.025
19,26.9149574429844,0.08173779840771075,28.12699651151158,pmut_ind=0.025
20,26.7362867168839,0.06716762047214374,27.6862082878262,pmut_ind=0.025
21,26.614853393301576,0.04594928651061092,27.378513691592147,pmut_ind=0.025
22,26.43524530042238,0.03036041679888636,27.171978447596945,pmut_ind=0.025
23,26.257241872644038,0.02861384966331071,27.059691863063524,pmut_ind=0.025
24,26.164954455066013,0.016620787594186705,26.849319533991583,pmut_ind=0.025
25,26.116333244864606,0.012668446944218476,26.798584782436553,pmut_ind=0.025
26,26.085319962150308,0.009393068714484677,26.72318320849988,pmut_ind=0.025
27,25.885012856285563,0.011443174589673238,26.572373086655325,pmut_ind=0.025
28,25.562829442940608,0.009070071038971199,26.41604894375958,pmut_ind=0.025
29,25.539218078445536,0.006003953913188874,26.292655148343673,pmut_ind=0.025
30,25.39160717402444,0.0073681342359629256,26.152378881110366,pmut_ind=0.025
31,25.253126721372453,0.007039318634215631,26.026720805223963,pmut_ind=0.025
32,25.158597713842635,0.00676667464606825,25.783042174388402,pmut_ind=0.025
33,24.994810531036862,0.007994201960909138,25.638304340703954,pmut_ind=0.025
34,24.849120987575606,0.007769946869684453,25.496345446815443,pmut_ind=0.025
35,24.86803747531343,0.011201647400566743,25.416551588080974,pmut_ind=0.025
36,24.80721662308799,0.008318955604388837,25.21939067851829,pmut_ind=0.025
37,24.706724798256126,0.007076396164641529,25.10195885802331,pmut_ind=0.025
38,24.654569628598964,0.009410361437493863,25.041287181498937,pmut_ind=0.025
39,24.537002411282238,0.009928405011284443,24.969799631141793,pmut_ind=0.025
40,24.495299571015515,0.01311658814136894,24.957021917571005,pmut_ind=0.025
41,24.495299571015515,0.009582711218676853,24.835746779319916,pmut_ind=0.025
42,24.495299571015515,0.007673095772275953,24.763675626680342,pmut_ind=0.025
43,24.463560776506103,0.006325313449715889,24.73896685047734,pmut_ind=0.025
44,24.39793388504758,0.007525553568302066,24.717295049466813,pmut_ind=0.025
45,24.32483932846341,0.005522934808524737,24.582220910745345,pmut_ind=0.025
46,24.363867092247826,0.0063045346998905245,24.613948046142156,pmut_ind=0.025
47,23.988814084830835,0.005319781726991346,24.57587269680568,pmut_ind=0.025
48,24.178037740887774,0.005063662545283921,24.528995556430264,pmut_ind=0.025
49,23.93978218821073,0.005135273589244234,24.488451708065988,pmut_ind=0.025
50,23.88746975731399,0.0043557229785078635,24.449324849656062,pmut_ind=0.025
51,23.665812604612274,0.0075505286008333925,24.423294259280446,pmut_ind=0.025
52,23.669566219210413,0.008825726860303328,24.3512552285553,pmut_ind=0.025
53,23.345780906756353,0.010151421796882951,24.242850420910095,pmut_ind=0.025
54,23.306322217890735,0.012053787389904624,24.066281776951257,pmut_ind=0.025
55,23.18688980396791,0.01344370812817487,23.924659160248698,pmut_ind=0.025
56,23.17779116382625,0.014531151993740832,23.724146564771136,pmut_ind=0.025
57,22.87635042608245,0.012829973238871029,23.55274788165597,pmut_ind=0.025
58,22.446282073614075,0.011526260225591544,23.452877423059732,pmut_ind=0.025
59,22.213690740235286,0.01242185115609864,23.322072455829588,pmut_ind=0.025
60,22.1469100658765,0.01211511916479383,23.18552994351982,pmut_ind=0.025
