It,AveBestFitness,AvgConvergence,ConfidenceInterval,ExperimentName
0,97.42048944401567,2.6543693516056814,158.33227834476554,pmut_ind=0.3|pmut_gene0.05
1,85.86842448547151,2.392103661727529,137.38677992785148,pmut_ind=0.3|pmut_gene0.05
2,75.08078816403973,2.12117654438715,120.57108356613983,pmut_ind=0.3|pmut_gene0.05
3,66.68066150753401,1.861468842481996,105.12337255053325,pmut_ind=0.3|pmut_gene0.05
4,58.06612225432681,1.6110127858460268,91.97476575973417,pmut_ind=0.3|pmut_gene0.05
5,52.17891339581722,1.4178501877649232,81.27768053514775,pmut_ind=0.3|pmut_gene0.05
6,46.87702397737344,1.2647617206160224,72.42707348888047,pmut_ind=0.3|pmut_gene0.05
7,42.666963109423016,1.1326692707665222,65.1124575620463,pmut_ind=0.3|pmut_gene0.05
8,38.3553128134496,1.013179479271447,58.30450267841927,pmut_ind=0.3|pmut_gene0.05
9,34.745089637536026,0.8833929815001865,52.488927995191574,pmut_ind=0.3|pmut_gene0.05
10,31.576380571494685,0.7572874372752458,46.76384573723607,pmut_ind=0.3|pmut_gene0.05
11,29.64679965012291,0.6399240104691979,42.08956473080164,pmut_ind=0.3|pmut_gene0.05
12,28.01430238304584,0.5476082517827329,38.69502980109369,pmut_ind=0.3|pmut_gene0.05
13,26.04618732161144,0.47718457429306455,35.395826759721295,pmut_ind=0.3|pmut_gene0.05
14,25.073618151597195,0.41463451065824775,32.99146632445796,pmut_ind=0.3|pmut_gene0.05
15,23.971614392876194,0.3458223558266807,30.958698459109975,pmut_ind=0.3|pmut_gene0.05
16,23.138176617328266,0.2978801722174298,29.096724272373148,pmut_ind=0.3|pmut_gene0.05
17,22.266931793635585,0.24633894991261152,27.513782573564015,pmut_ind=0.3|pmut_gene0.05
18,21.322313127094624,0.21335305934776513,26.44989400790018,pmut_ind=0.3|pmut_gene0.05
19,20.507178184494702,0.18934670171768,25.460681324087968,pmut_ind=0.3|pmut_gene0.05
20,19.78760088890201,0.17118628508898306,24.354099247130268,pmut_ind=0.3|pmut_gene0.05
21,19.053855084768074,0.15960033212739727,23.648711082157135,pmut_ind=0.3|pmut_gene0.05
22,18.374943797253238,0.14564007789113187,22.660609062424665,pmut_ind=0.3|pmut_gene0.05
23,17.876909487689193,0.13512671286491934,21.728975279069537,pmut_ind=0.3|pmut_gene0.05
24,17.280269821970624,0.1224108309851721,21.073179321276612,pmut_ind=0.3|pmut_gene0.05
25,16.5598347849909,0.11174571295791647,20.58860264228542,pmut_ind=0.3|pmut_gene0.05
26,15.823275148078626,0.09840337147899487,19.777058045990433,pmut_ind=0.3|pmut_gene0.05
27,15.543541373858869,0.09563611778261909,19.286684937131437,pmut_ind=0.3|pmut_gene0.05
28,15.188280084499445,0.09244123885414736,18.65754303458555,pmut_ind=0.3|pmut_gene0.05
29,14.703621167248837,0.09594544961897684,18.258960741713537,pmut_ind=0.3|pmut_gene0.05
30,14.257728880644363,0.0898727564860876,17.70180899435454,pmut_ind=0.3|pmut_gene0.05
31,13.56987249720776,0.08883923497603553,17.151957774120575,pmut_ind=0.3|pmut_gene0.05
32,13.194906682833693,0.08428365031012033,16.732255923292694,pmut_ind=0.3|pmut_gene0.05
33,13.028525037168587,0.08500420226095763,16.17136833550833,pmut_ind=0.3|pmut_gene0.05
34,12.686453179149055,0.08320049926567513,15.584293755157038,pmut_ind=0.3|pmut_gene0.05
35,12.509846311830907,0.08572938215068208,15.49808579014905,pmut_ind=0.3|pmut_gene0.05
36,12.30362056966043,0.08084761193286419,14.911824926097044,pmut_ind=0.3|pmut_gene0.05
37,11.842378875357673,0.07157623817997197,14.528140415960268,pmut_ind=0.3|pmut_gene0.05
38,11.573535959136034,0.07098849100424855,14.239322548683068,pmut_ind=0.3|pmut_gene0.05
39,11.253118157242481,0.06944717045126206,13.864631955644018,pmut_ind=0.3|pmut_gene0.05
40,10.927261540800544,0.06589571595488398,13.541342102832644,pmut_ind=0.3|pmut_gene0.05
41,10.682096250613691,0.06907853773522535,13.509733603347529,pmut_ind=0.3|pmut_gene0.05
42,10.39394898353972,0.06513819135952956,12.98707655842899,pmut_ind=0.3|pmut_gene0.05
43,10.268063881276264,0.06703108726263829,12.753373999733055,pmut_ind=0.3|pmut_gene0.05
44,10.028880730365723,0.06298580299165167,12.47887046841419,pmut_ind=0.3|pmut_gene0.05
45,9.770057438931236,0.06671926506206281,12.272848422088805,pmut_ind=0.3|pmut_gene0.05
46,9.55556653484089,0.06193191974098504,12.160690902721273,pmut_ind=0.3|pmut_gene0.05
47,9.450050073830228,0.05602972657865889,11.677574240788669,pmut_ind=0.3|pmut_gene0.05
48,9.081027079895485,0.05478624806413704,11.425659216002737,pmut_ind=0.3|pmut_gene0.05
49,9.057823515599855,0.0572437176172147,11.346251773822747,pmut_ind=0.3|pmut_gene0.05
50,8.824716909074802,0.05591279922115872,11.112563238447882,pmut_ind=0.3|pmut_gene0.05
51,8.52501164321295,0.05991633638638174,11.051197525953848,pmut_ind=0.3|pmut_gene0.05
52,8.216325355674142,0.0583233682498744,10.777669302414305,pmut_ind=0.3|pmut_gene0.05
53,8.1903581134161,0.06105968831932736,10.659060319244201,pmut_ind=0.3|pmut_gene0.05
54,8.011112407826781,0.06456682797370557,10.366459531021805,pmut_ind=0.3|pmut_gene0.05
55,7.90148683665476,0.06542241008380845,10.209131161322468,pmut_ind=0.3|pmut_gene0.05
56,7.828966639122909,0.05922658892176026,9.902520704487863,pmut_ind=0.3|pmut_gene0.05
