It,AveBestFitness,AvgConvergence,ExperimentName
0,118.66108669922627,2.695531970950675,pcross=0.1
1,118.66108669922627,2.526933273670023,pcross=0.1
2,102.48257438547283,2.1694418285620736,pcross=0.1
3,97.7108175253372,1.8763545905045198,pcross=0.1
4,97.7108175253372,1.5803456695880658,pcross=0.1
5,88.62808798181779,1.3726568988299035,pcross=0.1
6,88.62808798181779,1.4278948880713627,pcross=0.1
7,88.54077653230446,1.4393245616838226,pcross=0.1
8,81.54623392182118,1.333474509708714,pcross=0.1
9,81.54623392182118,1.2540541716417262,pcross=0.1
10,81.54623392182118,1.2145884340562938,pcross=0.1
11,66.540763203827,0.9582462771284441,pcross=0.1
12,66.540763203827,0.7036597324614317,pcross=0.1
13,55.47601197680171,0.850944758709328,pcross=0.1
14,55.47601197680171,0.9506871752140645,pcross=0.1
15,55.47601197680171,0.7048456325096439,pcross=0.1
16,54.47261396955854,0.3771725118035397,pcross=0.1
17,47.742198368183786,0.09672064384932984,pcross=0.1
18,47.742198368183786,0.12152538959079448,pcross=0.1
19,47.742198368183786,0.09116270148501923,pcross=0.1
20,43.428150028130545,0.10259113514582113,pcross=0.1
21,40.7653232118668,0.13737559015193418,pcross=0.1
22,40.7653232118668,0.13056697708680945,pcross=0.1
23,40.7653232118668,0.12875579864940248,pcross=0.1
24,38.58436995441367,0.12440005078697675,pcross=0.1
25,34.267893096912786,0.13138888643189284,pcross=0.1
26,34.267893096912786,0.1171899038259207,pcross=0.1
27,34.267893096912786,0.07546433832399271,pcross=0.1
28,34.267893096912786,0.07217771865710879,pcross=0.1
29,34.03490761049204,0.08276021428197747,pcross=0.1
30,33.38543045204693,0.06522906188273901,pcross=0.1
31,31.39545327130992,0.06622969146324498,pcross=0.1
32,30.334951823072515,0.08931062099985212,pcross=0.1
33,29.275815006670058,0.11305161040424792,pcross=0.1
34,29.275815006670058,0.1426045322217234,pcross=0.1
35,28.339916032982757,0.17205403322018284,pcross=0.1
36,28.339916032982757,0.20871422511854185,pcross=0.1
37,28.339916032982757,0.15109938867214098,pcross=0.1
38,27.404808357984535,0.10075738700346998,pcross=0.1
39,24.835010989013426,0.08094362989675863,pcross=0.1
40,24.835010989013426,0.10378771368553234,pcross=0.1
41,24.04270557077183,0.12019945103822939,pcross=0.1
42,24.04270557077183,0.11255628537957606,pcross=0.1
43,24.04270557077183,0.1582152817004315,pcross=0.1
44,22.7446092736118,0.10598326550317376,pcross=0.1
45,23.425542979721527,0.06811474112387701,pcross=0.1
46,23.425542979721527,0.028664476207729866,pcross=0.1
47,22.189584265567376,0.02586478242906306,pcross=0.1
48,22.189584265567376,0.050949724782892176,pcross=0.1
49,22.061119934666266,0.027849367998852327,pcross=0.1
50,22.061119934666266,0.03203734095205725,pcross=0.1
51,22.02405551354896,0.030298853399218815,pcross=0.1
52,22.02405551354896,0.054486527291716026,pcross=0.1
53,18.804925383930822,0.053953556130630166,pcross=0.1
54,18.804925383930822,0.04196650028681652,pcross=0.1
55,18.804925383930822,0.09197278296256849,pcross=0.1
56,18.804925383930822,0.060522155633299185,pcross=0.1
57,18.639396631912405,0.08000699966601564,pcross=0.1
58,18.541064866149057,0.07134264154559672,pcross=0.1
59,15.66194664411627,0.050413654943893854,pcross=0.1
60,15.66194664411627,0.046982971599076655,pcross=0.1
61,15.66194664411627,0.06790353921362428,pcross=0.1
62,15.496417892097853,0.08197967443483911,pcross=0.1
63,15.496417892097853,0.12359901686539798,pcross=0.1
64,15.342683606389741,0.11374298591132811,pcross=0.1
65,15.342683606389741,0.08455025156064452,pcross=0.1
66,14.26650135664282,0.07369047272637592,pcross=0.1
67,13.148251053789437,0.0718983024216601,pcross=0.1
68,13.148251053789437,0.08932898737383675,pcross=0.1
69,13.148251053789437,0.08988367392032015,pcross=0.1
70,13.148251053789437,0.0909259422211616,pcross=0.1
71,13.148251053789437,0.08762672314980186,pcross=0.1
72,12.51408141217945,0.07392092956424821,pcross=0.1
73,12.51408141217945,0.07524876467179199,pcross=0.1
74,12.500607282659118,0.032573733423133244,pcross=0.1
75,12.500607282659118,0.03249368988728962,pcross=0.1
76,12.500607282659118,0.030911882572311894,pcross=0.1
77,11.547283689611177,0.05908051992108188,pcross=0.1
78,11.547283689611177,0.05152247676234185,pcross=0.1
79,11.547283689611177,0.0517039815681328,pcross=0.1
80,11.547283689611177,0.07221953488862186,pcross=0.1
81,11.53380956009083,0.09623371656074922,pcross=0.1
82,11.53380956009083,0.07082001331159278,pcross=0.1
83,11.53380956009083,0.0715646519067328,pcross=0.1
84,11.53380956009083,0.07141132980342246,pcross=0.1
85,11.464828251651241,0.03633427345358892,pcross=0.1
86,11.464828251651241,0.021681998959123632,pcross=0.1
87,8.364689904699475,0.052487011875293234,pcross=0.1
88,11.464828251651241,0.059324362718277596,pcross=0.1
89,11.464828251651241,0.014795780625575228,pcross=0.1
90,11.464828251651241,0.04301726231528573,pcross=0.1
91,11.464828251651241,0.04603936110741385,pcross=0.1
92,11.464828251651241,0.040246113208581485,pcross=0.1
93,11.464828251651241,0.055284613254613674,pcross=0.1
94,11.103804618915532,0.027234350874240417,pcross=0.1
95,11.103804618915532,0.04673491533509085,pcross=0.1
96,10.926442612662328,0.0639117944821462,pcross=0.1
97,10.926442612662328,0.045847999265787344,pcross=0.1
98,10.196677491645872,0.09097208177814571,pcross=0.1
99,10.196677491645872,0.09886192699902195,pcross=0.1
0,81.74791421597618,2.641517298080924,pcross=0.2
1,81.74791421597618,2.2126477215338416,pcross=0.2
2,73.75009582951463,1.9597593059945815,pcross=0.2
