It,AveBestFitness,ExperimentName
0,107.95868079266509,c1=0.25
1,79.69308258303451,c1=0.25
2,78.70970278897813,c1=0.25
3,78.47780255032916,c1=0.25
4,78.33646628179547,c1=0.25
5,76.8766663026102,c1=0.25
6,76.01017783877518,c1=0.25
7,75.7352864579399,c1=0.25
8,73.68549699553468,c1=0.25
9,71.67329144274285,c1=0.25
10,71.4856685838498,c1=0.25
11,70.29735615487746,c1=0.25
12,70.29735615487746,c1=0.25
13,70.15925959316488,c1=0.25
14,70.0022003083072,c1=0.25
15,70.0022003083072,c1=0.25
16,69.56092259477484,c1=0.25
17,69.50793035649147,c1=0.25
18,68.99957261706842,c1=0.25
19,68.44648612227738,c1=0.25
20,68.2209040349387,c1=0.25
21,67.45645539147952,c1=0.25
22,67.45645539147952,c1=0.25
23,67.24320151265836,c1=0.25
24,67.24320151265836,c1=0.25
25,66.7730313806521,c1=0.25
26,66.57902052861478,c1=0.25
27,66.57902052861478,c1=0.25
28,66.57902052861478,c1=0.25
29,66.57902052861478,c1=0.25
30,66.57902052861478,c1=0.25
31,66.57902052861478,c1=0.25
32,66.54044086470172,c1=0.25
33,66.4594987779239,c1=0.25
34,66.4594987779239,c1=0.25
35,66.4594987779239,c1=0.25
36,65.93426067086085,c1=0.25
37,65.7478214505857,c1=0.25
38,65.6628736818852,c1=0.25
39,65.6628736818852,c1=0.25
40,65.6628736818852,c1=0.25
41,65.6628736818852,c1=0.25
42,65.6628736818852,c1=0.25
43,65.6628736818852,c1=0.25
44,65.6628736818852,c1=0.25
45,65.6628736818852,c1=0.25
46,65.6628736818852,c1=0.25
47,65.6628736818852,c1=0.25
48,65.6628736818852,c1=0.25
49,65.6628736818852,c1=0.25
50,65.6628736818852,c1=0.25
51,65.6628736818852,c1=0.25
52,65.25458464980687,c1=0.25
53,65.25458464980687,c1=0.25
54,65.25458464980687,c1=0.25
55,65.25458464980687,c1=0.25
56,65.25458464980687,c1=0.25
57,65.25458464980687,c1=0.25
58,65.17164071114345,c1=0.25
59,65.17164071114345,c1=0.25
60,65.17164071114345,c1=0.25
61,65.17164071114345,c1=0.25
62,65.17164071114345,c1=0.25
63,65.04103009192326,c1=0.25
64,65.04103009192326,c1=0.25
65,65.04103009192326,c1=0.25
66,65.04103009192326,c1=0.25
67,65.04103009192326,c1=0.25
68,65.04103009192326,c1=0.25
69,65.04103009192326,c1=0.25
70,65.04103009192326,c1=0.25
71,65.04103009192326,c1=0.25
72,64.92565116444668,c1=0.25
73,64.92565116444668,c1=0.25
74,64.92565116444668,c1=0.25
75,64.92565116444668,c1=0.25
76,64.92565116444668,c1=0.25
77,64.92565116444668,c1=0.25
78,64.92565116444668,c1=0.25
79,64.32338487471846,c1=0.25
80,64.32338487471846,c1=0.25
81,64.32338487471846,c1=0.25
82,64.1639398975059,c1=0.25
83,64.1639398975059,c1=0.25
84,64.1639398975059,c1=0.25
85,63.85231713532778,c1=0.25
86,63.85231713532778,c1=0.25
87,63.72852315503729,c1=0.25
88,63.72852315503729,c1=0.25
89,63.72852315503729,c1=0.25
90,63.72852315503729,c1=0.25
91,63.72852315503729,c1=0.25
92,63.72852315503729,c1=0.25
93,63.72852315503729,c1=0.25
94,63.68324977979065,c1=0.25
95,63.68324977979065,c1=0.25
96,63.68324977979065,c1=0.25
97,63.59442446732705,c1=0.25
98,63.59442446732705,c1=0.25
99,63.59442446732705,c1=0.25
0,108.68176339691873,c1=0.5
1,79.81298666418894,c1=0.5
2,78.0438542439238,c1=0.5
3,77.85436263158542,c1=0.5
4,76.71347920756176,c1=0.5
5,74.04016053433408,c1=0.5
6,71.91115147508755,c1=0.5
7,71.86285254341809,c1=0.5
8,70.93706712712161,c1=0.5
9,70.78299169112272,c1=0.5
10,70.51322053655741,c1=0.5
11,69.6162878474578,c1=0.5
12,69.11720163933909,c1=0.5
13,68.81693598860109,c1=0.5
14,68.79234313520985,c1=0.5
15,68.7341798917957,c1=0.5
16,68.31222244641712,c1=0.5
17,67.58901747657369,c1=0.5
18,67.58901747657369,c1=0.5
19,67.39995926436184,c1=0.5
20,67.2639215988573,c1=0.5
21,66.82900971177885,c1=0.5
22,66.73762504775992,c1=0.5
23,66.73762504775992,c1=0.5
24,66.52652198913437,c1=0.5
25,66.52652198913437,c1=0.5
26,66.41007450463195,c1=0.5
27,66.31342924460624,c1=0.5
28,65.87665793907374,c1=0.5
29,65.73603812129485,c1=0.5
30,65.73603812129485,c1=0.5
31,65.09817683677944,c1=0.5
32,65.09817683677944,c1=0.5
33,65.09817683677944,c1=0.5
34,64.9713364169169,c1=0.5
35,64.85147636992255,c1=0.5
36,64.83677614916948,c1=0.5
37,63.664328818275415,c1=0.5
38,63.664328818275415,c1=0.5
39,63.25712437489388,c1=0.5
40,63.09244332638524,c1=0.5
41,63.09244332638524,c1=0.5
42,62.70843686070454,c1=0.5
43,62.70843686070454,c1=0.5
44,62.70843686070454,c1=0.5
45,62.68296993859694,c1=0.5
46,62.59821337665336,c1=0.5
47,62.59821337665336,c1=0.5
48,62.512689687853545,c1=0.5
49,62.512689687853545,c1=0.5
50,62.512689687853545,c1=0.5
51,62.512689687853545,c1=0.5
52,62.512689687853545,c1=0.5
53,62.512689687853545,c1=0.5
54,62.512689687853545,c1=0.5
55,62.30541307289908,c1=0.5
